"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 01, 2021","26.525","26.525","26.525","26.525","-","-0.24%"
"Jan 03, 2021","27.008","26.560","27.085","26.552","-","1.82%"
"Jan 04, 2021","27.584","27.000","27.830","27.000","0.92K","2.13%"
"Jan 05, 2021","27.867","27.645","27.950","27.645","0.75K","1.03%"
"Jan 06, 2021","27.270","28.155","28.155","27.145","0.61K","-2.14%"
"Jan 07, 2021","27.473","27.500","27.580","27.300","0.46K","0.74%"
"Jan 08, 2021","24.845","26.865","27.000","24.800","0.89K","-9.57%"
"Jan 10, 2021","25.133","25.358","25.590","24.915","-","1.16%"
"Jan 11, 2021","25.478","25.625","25.625","24.575","0.96K","1.37%"
"Jan 12, 2021","25.637","25.400","25.925","25.390","0.75K","0.62%"
"Jan 13, 2021","25.768","25.825","25.825","25.530","0.76K","0.51%"
"Jan 14, 2021","25.997","25.325","26.145","25.325","0.80K","0.89%"
"Jan 15, 2021","25.054","25.670","25.690","24.840","0.87K","-3.63%"
"Jan 17, 2021","24.253","24.812","24.890","24.220","-","-3.20%"
"Jan 18, 2021","25.045","24.250","25.200","24.250","-","3.27%"
"Jan 19, 2021","25.505","24.500","25.505","24.480","0.29K","1.84%"
"Jan 20, 2021","25.933","25.620","26.105","25.620","0.37K","1.68%"
"Jan 21, 2021","26.020","26.225","26.225","25.925","0.41K","0.34%"
"Jan 22, 2021","25.717","25.980","25.980","25.335","0.26K","-1.16%"
"Jan 24, 2021","25.615","25.497","25.680","25.455","-","-0.40%"
"Jan 25, 2021","25.650","25.750","25.885","25.430","0.29K","0.14%"
"Jan 26, 2021","25.701","25.570","25.645","25.570","0.14K","0.20%"
"Jan 27, 2021","25.548","25.325","25.555","25.000","0.15K","-0.60%"
"Jan 28, 2021","26.058","25.250","27.040","25.250","0.58K","2.00%"
"Jan 29, 2021","27.037","26.725","27.830","26.430","0.98K","3.76%"
"Jan 31, 2021","28.820","27.055","29.223","27.055","-","6.59%"
"Feb 01, 2021","29.364","28.550","29.930","28.405","2.17K","1.89%"
"Feb 02, 2021","26.469","28.425","28.425","26.440","1.05K","-9.86%"
"Feb 03, 2021","26.982","27.040","27.135","26.915","0.88K","1.94%"
"Feb 04, 2021","26.327","26.540","26.780","26.145","0.71K","-2.43%"
